fuel_type_code,station_name,street_address,intersection_directions,city,state,zip,plus4,station_phone,status_code,expected_date,groups_with_access_code,access_days_time,cards_accepted,bd_blends,ng_fill_type_code,ng_psi,ev_level1_evse_num,ev_level2_evse_num,ev_dc_fast_count,ev_other_info,ev_network,ev_network_web,geocode_status,latitude,longitude,date_last_confirmed,id,updated_at,owner_type_code,federal_agency_id,federal_agency_name,open_date,hydrogen_status_link,ng_vehicle_class,lpg_primary,e85_blender_pump,ev_connector_types,country,hydrogen_is_retail,access_code,access_detail_code,federal_agency_code
ELEC,ComEd,3500 N California Ave,,Chicago,IL,60618,,,E,,Private,ComEd fleet use only,,,,,,14,,,,,GPS,41.94629288,-87.69982,2017-12-05,38850,2018-02-06 21:00:03 UTC,T,,,2010-12-31,,,,,J1772,US,,private,,
ELEC,ComEd,7601 S Lawndale Ave,,Chicago,IL,60652,,,E,,Private,ComEd fleet use only,,,,,,26,,,,,GPS,41.75497055,-87.71321,2017-12-05,38851,2018-02-06 21:00:03 UTC,T,,,2010-12-31,,,,,J1772,US,,private,,
ELEC,999 E. TOUHY,999 E Touhy Ave.,"OHARE OFFICES 1; O'Hare Offices - Located off of I90 adjacent from All State Arena
OHARE OFFICES 2; O'Hare Offices - Located off of I90 adjacent from All State Arena",Des Plaines,IL,60018,,888-758-4389,E,,Public,24 hours daily,,,,,2,2,,,ChargePoint Network,http://www.chargepoint.com/,200-9,42.008491,-87.899666,2018-05-09,38853,2018-05-09 08:50:39 UTC,,,,,,,,,J1772 NEMA520,US,,public,,
ELEC,City Hall Annex - Town of Normal,100 E Phoenix Ave,Right off Linden St  south side of police station,Normal,IL,61761,,309-454-2444,E,,Public,24 hours daily,,,,,,4,,,,,200-9,40.507622,-88.983406,2017-11-02,38855,2018-03-06 01:47:38 UTC,LG,,,2011-04-15,,,,,J1772,US,,public,,
ELEC,College Avenue Parking Deck,101 W Mulberry St,Located on lowest level of parking deck,Normal,IL,61761,,309-454-2444,E,,Public,24 hours daily; pay lot,,,,,,3,,,,,200-8,40.511285,-88.98487,2017-11-02,38856,2018-03-06 01:46:23 UTC,LG,,,2011-04-15,,,,,J1772,US,,public,,
ELEC,State of Illinois - Governor's Mansion,401-499 E Edwards St,,Springfield,IL,62703,,,E,,Private,For state vehicle use only,,,,,,1,,,,,GPS,39.79628,-89.6504,2018-01-04,38857,2018-02-06 21:00:03 UTC,SG,,,2011-03-15,,,,,J1772,US,,private,,
ELEC,O'Hare Airport - Short Term Parking,10000 Bessie Coleman Dr,Located in row 2 on the first floor,Chicago,IL,60666,,800-832-6352,E,,Public - Credit card at all times,24 hours daily; pay lot,A D M V,,,,,2,,,,,200-8,41.980613,-87.885751,2018-01-04,40794,2018-03-06 00:57:10 UTC,P,,,2011-02-11,,,,,J1772,US,,public,CREDIT_CARD_ALWAYS,
ELEC,JNS,3222 N Milwaukee Ave,"WAL 3222 MILW 1; Located on the S. side of lot  east of entry
WAL 3222 MILW 2; Located on the S. side of lot  east of entry",Chicago,IL,60618,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,200-9,41.939392,-87.724999,2018-05-09,40795,2018-05-09 08:50:39 UTC,,,,,,,,,J1772,US,,public,,
ELEC,JNS,5753 N Canfield Ave,WAL CANFIELD 2; Located S. side of the Walgreens parking lot facing Higgins,Chicago,IL,60631,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,200-9,41.9845611,-87.8228378,2018-05-09,40796,2018-05-09 08:50:39 UTC,,,,,,,,,J1772,US,,public,,
ELEC,JNS,2744 N California Ave,WAL CALIFORNIA1; Located in front of the store next to the handicapped space,Chicago,IL,60647,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.9316594,-87.6979454,2018-05-09,40800,2018-05-09 08:50:39 UTC,,,,,,,,,J1772,US,,public,,
ELEC,JNS,1649 W Belmont Ave,WAL BELMONT 2; Located in the south east corner of lot,Chicago,IL,60657,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.9393888,-87.6707097,2018-05-09,40801,2018-05-09 08:50:39 UTC,,,,,,,,,J1772,US,,public,,
ELEC,JNS,6140 N Western Ave,WAL WESTERN 1; Located on apron in front of store,Chicago,IL,60659,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.9934665,-87.690114,2018-05-09,40803,2018-05-09 08:50:39 UTC,,,,,,,,,J1772,US,,public,,
ELEC,Rivers Casino,3000 S River Rd,,Des Plaines,IL,60018,,847-795-0777,E,,Private,Employee and customer use only,,,,,,4,,,,,200-9,41.99774,-87.864217,2018-01-04,40806,2018-03-06 01:53:17 UTC,P,,,2011-03-01,,,,,J1772,US,,private,,
ELEC,SOLDIER FIELD,1448-1468 Museum Campus Dr,LEVEL 3 UNIT1; Soldier Field:  North Garage Level 3,Chicago,IL,60605,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.8638,-87.6157227,2018-05-09,41000,2018-05-09 08:50:39 UTC,,,,,,,,,J1772 NEMA520,US,,public,,
ELEC,SOLDIER FIELD,448-462 E McFetridge Dr,LEVEL 4 UNIT1; Soldier Field: North Garage Level 4,Chicago,IL,60605,,888-758-4389,E,,Public,24 hours daily,,,,,1,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.864151,-87.6165848,2018-05-09,41001,2018-05-09 08:50:39 UTC,,,,,,,,,J1772 NEMA520,US,,public,,
ELEC,JNS,1350 N Lake Shore Dr,1350 LAKE SHORE; Located in lower level of valet parking,Chicago,IL,60610,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.9070322,-87.6265173,2018-05-09,41462,2018-05-09 08:50:39 UTC,,,,,,,,,J1772,US,,public,,
ELEC,JNS,930 Elk Grove Town Center,"WAL ELK GROVE 1; Located on East side of parking lot
WAL ELK GROVE 2; Located on East side of parking lot",Elk Grove Village,IL,60007,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,200-9,42.003056,-88.006112,2018-05-09,41465,2018-05-09 08:50:39 UTC,,,,,,,,,J1772,US,,public,,
ELEC,JNS,6 E North Ave,"WAL NORTHLAKE 1; Located on Wolf side of store near street
WAL NORTHLAKE 2; Located on Wolf side of store near street",Northlake,IL,60164,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,200-9,41.90792,-87.902079,2018-05-09,41468,2018-05-09 08:50:39 UTC,,,,,,,,,J1772,US,,public,,
ELEC,JNS,3320 Grove Ave,"BERWYN GARAGE 1; Located on 1st level in center of garage  spot 111/112
BERWYN GARAGE 2; Located on 1st level in center of garage  spot 111/112",Berwyn,IL,60402,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,200-9,41.831473,-87.79426,2018-05-09,41530,2018-05-09 08:50:39 UTC,,,,,,,,,J1772,US,,public,,
ELEC,ADVANCED DATA,1075 Shore Rd,ADVANCED DATA; -,Naperville,IL,60563,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.7870439,-88.2264629,2018-05-09,41824,2018-05-09 08:50:39 UTC,,,,,,,,,J1772,US,,public,,
ELEC,ATC,2122 Central St,"CENTRAL 01; Available for public use
CENTRAL 02; Available for public use",Evanston,IL,60201,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,200-9,42.064195,-87.703163,2018-05-09,42163,2018-05-09 08:50:39 UTC,,,,,,,,,J1772,US,,public,,
ELEC,JNS,900 Dodge Ave,"WAL EVANSTON 1; Located near back of store along fence
WAL EVANSTON 2; Located near rear of store along fence",Evanston,IL,60202,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,200-9,42.034199,-87.699605,2018-05-09,42164,2018-05-09 08:50:39 UTC,,,,,,,,,J1772,US,,public,,
ELEC,JNS,655 Elm Pl,WAL HIGHLAND PK; Located on apron directly in front of store,Highland Park,IL,60035,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.1874087,-87.8028718,2018-05-09,42165,2018-05-09 08:50:39 UTC,,,,,,,,,J1772,US,,public,,
ELEC,JNS,15 S Orchard Dr,"WAL PARK FRST 1; Located in lot along Lakewood Blvd side of property
WAL PARK FRST 2; Located in lot along Lakewood Blvd side of property",Park Forest,IL,60466,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,200-9,41.484136,-87.683499,2018-05-09,42180,2018-05-09 08:50:39 UTC,,,,,,,,,J1772,US,,public,,
ELEC,Town of Normal - Fire Department Headquarters,606 S Main St,Located in Headquarters parking lot  easternmost space facing College,Normal,IL,61761,,309-454-9590,E,,Private,,,,,,,1,,,,,200-9,40.505132,-88.994211,2017-11-02,42460,2018-03-06 00:53:49 UTC,LG,,,2012-01-01,,,,,J1772,US,,private,,
ELEC,Town of Normal - Public Works Department,1301 Warriner,Located in Public Works parking lot  westernmost parking space on north side of building.,Normal,IL,61761,,309-454-9590,E,,Public,24 hours daily,,,,,,1,,,,,200-8,40.496969,-89.004735,2017-11-02,42461,2018-03-06 01:46:23 UTC,LG,,,2012-01-01,,,,,J1772,US,,public,,
ELEC,Marriott Parking Deck,201 W Beaufort,Adjacent to Marriott Hotel and Conference Center (lower level),Normal,IL,61761,,309-454-9590,E,,Public,24 hours daily; pay lot,,,,,1,2,,,,,200-8,40.508338,-88.985787,2017-11-02,42462,2018-03-06 01:46:24 UTC,LG,,,2012-01-01,,,,,J1772 NEMA520,US,,public,,
ELEC,Heartland Community College - Workforce Development Center,1500 W Raab Rd,Located at east entrance,Normal,IL,61761,,309-268-8000,E,,Public,Restricted to College hours,,,,,,1,,,,,200-8,40.531792,-89.017548,2017-11-02,42499,2018-03-06 01:47:41 UTC,LG,,,2011-12-29,,,,,J1772,US,,public,,
ELEC,JNS,701 W Maxwell St,"UIC MAXWELL ST1; Located on first floor ramp  right side as you enter from Un
UIC MAXWELL ST2; Located on first floor ramp  right side as you enter from Un
UIC MAXWELL ST3; Located on first floor ramp  right side as you enter from Un",Chicago,IL,60607,,888-758-4389,E,,Public,24 hours daily,,,,,,3,,,ChargePoint Network,http://www.chargepoint.com/,200-8,41.864636,-87.64502,2018-05-09,42706,2018-05-09 08:50:39 UTC,,,,,,,,,J1772,US,,public,,
ELEC,JNS,2301 W Irving Park Rd,"WAL IRVING PK 1; Located in center of parking lot near handicap spaces 
WAL IRVING PK 2; Located in center of parking lot near handicap spaces",Chicago,IL,60618,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,200-9,41.953917,-87.68605,2018-05-09,42707,2018-05-09 08:50:39 UTC,,,,,,,,,J1772,US,,public,,
ELEC,JNS,225 Milwaukee Ave,WAL LINCOLNSHRE; Located on East side of parking lot near handicap parking,Lincolnshire,IL,60069,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.2012344,-87.9328987,2018-05-09,42710,2018-05-09 08:50:39 UTC,,,,,,,,,J1772,US,,public,,
ELEC,Heartland Community College - Astroth Community Education Center,1500 W Raab Rd,Located at east entrance,Normal,IL,61761,,309-268-8000,E,,Public,Restricted to College hours,,,,,,1,,,,,200-8,40.531792,-89.017548,2017-11-02,42711,2018-03-06 01:09:02 UTC,LG,,,2011-12-29,,,,,J1772,US,,public,,
ELEC,JNS,12 N Northwest Hwy,"WAL PALATINE 1; Located on apron of the store  Northwest Hwy side
WAL PALATINE 2; Located on apron of the store  Northwest Hwy side",Palatine,IL,60067,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,200-9,42.110797,-88.034625,2018-05-09,42712,2018-05-09 08:50:39 UTC,,,,,,,,,J1772,US,,public,,
ELEC,JNS,760 W Taylor St,"UIC HALSTED 1; Located on 1st level of SouthEast corner
UIC HALSTED 2; Located on 1st level in SouthEast corner
UIC HALSTED 3; Located on 1st level of Southeast corner",Chicago,IL,60607,,888-758-4389,E,,Public,24 hours daily,,,,,,3,,,ChargePoint Network,http://www.chargepoint.com/,200-8,41.869929,-87.646013,2018-05-09,43140,2018-05-09 08:50:39 UTC,,,,,,,,,J1772,US,,public,,
ELEC,JNS,6201 S Cicero Ave,MIDWAY CELL 1; Located on east side of parking lot between 61st and 62nd of,Chicago,IL,60629,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.7815157,-87.7418991,2018-05-09,43152,2018-05-09 08:50:39 UTC,,,,,,,,,J1772,US,,public,,
ELEC,JNS,4799 W 54th St,"MIDWAY LONG 1; Located on ground floor of long term garage off 55th S Wall
MIDWAY LONG 2; Located on ground floor of long term garage off 55th S Wall",Chicago,IL,60638,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,200-8,41.794589,-87.741593,2018-05-09,43153,2018-05-09 08:50:39 UTC,,,,,,,,,J1772,US,,public,,
ELEC,JNS,321 E Erie St,NWU ERIE ST 1; NWU Chicago - 321 E. Erie St  Chicago  IL 60611,Chicago,IL,60611,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.8943119,-87.6196357,2018-05-09,43155,2018-05-09 08:50:39 UTC,,,,,,,,,J1772,US,,public,,
ELEC,JNS,239 Golf Mill Center,"GOLF MILL 1; Located just south of main entrance off of Milwaukee Ave.
GOLF MILL 2; Located just south of main entrance off of Milwaukee Ave.",Niles,IL,60714,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,200-8,42.048333,-87.840001,2018-05-09,43157,2018-05-09 08:50:39 UTC,,,,,,,,,J1772,US,,public,,
ELEC,Great Escape Restaurant,9540 W Irving Park Rd,Irving Park Rd & 25th. Located in restaurant parking lot.,Schiller Park,IL,60176,,847-671-7171,E,,Public,Restricted to restaurant hours,,,,,,3,,,,,200-9,41.955233,-87.865268,2018-01-04,43358,2018-03-06 01:54:39 UTC,P,,,2012-02-01,,,,,J1772,US,,public,,
ELEC,JNS,4440 W 95th Street,"CHRISTHOSPITAL1; Located in parking lot B 1st floor north side
CHRISTHOSPITAL2; Located in parking lot B 1st floor north side",Oak Lawn,IL,60453,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,200-9,41.72122,-87.73222,2018-05-09,43846,2018-05-09 08:50:39 UTC,,,,,,,,,J1772,US,,public,,
ELEC,City of Rock Island Parking Ramp,16th St & 3rd Ave,Located on the 1st floor in the NW corner.,Rock Island,IL,61201,,309-732-2200,E,,Public,Garage business hours; pay lot,Cash,,,,,2,,,,,GPS,41.509406,-90.577025,2018-01-04,44652,2018-02-06 21:00:03 UTC,LG,,,2012-02-03,,,,,J1772,US,,public,,
ELEC,Walsh Construction,307 S Sangamon,,Chicago,IL,60607,,,E,,Private,Employee use only,,,,,,1,,,,,GPS,41.87757111,-87.65041351,2018-01-04,44878,2018-02-06 21:00:03 UTC,P,,,2012-03-15,,,,,J1772,US,,private,,
ELEC,Mike Miller Mitsubishi,2007 W Pioneer Pkwy,,Peoria,IL,61615,,877-273-0662,E,,Public,Dealership business hours; Mitsubishi vehicle use only,,,,,,1,,,,,200-9,40.784164,-89.623657,2018-01-04,45803,2018-03-06 01:29:15 UTC,P,,,2012-02-15,,,,,J1772,US,,public,,
ELEC,ComEd,5190 Church St,,Skokie,IL,60077,,,E,,Private,ComEd fleet use only,,,,,,5,,,,,200-9,42.048674,-87.756383,2017-12-05,46235,2018-03-06 01:28:39 UTC,T,,,2010-12-31,,,,,J1772,US,,private,,
ELEC,ComEd,4401 W 135th St,,Crestwood,IL,60445,,,E,,Private,ComEd fleet use only,,,,,,6,,,,,200-8,41.647334,-87.729414,2017-12-05,46236,2018-03-06 01:49:04 UTC,T,,,2010-12-31,,,,,J1772,US,,private,,
ELEC,ComEd,1505 1st Ave,,Maywood,IL,60153,,,E,,Private,ComEd fleet use only,,,,,,6,,,,,,41.874415,-87.8337901,2017-12-05,46237,2018-02-06 21:00:03 UTC,T,,,2010-12-31,,,,,J1772,US,,private,,
ELEC,Arlington Nissan,1100 W Dundee Rd,,Arlington Heights,IL,60004,,847-590-6100,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,,,200-9,42.139843,-87.996655,2017-08-02,46797,2018-03-06 00:34:51 UTC,P,,,2012-01-31,,,,,CHADEMO J1772,US,,public,CALL,
ELEC,Arlington Nissan,1100 W Dundee Rd,,Arlington Heights,IL,60004,,847-590-6100,E,,Private,,,,,,,1,,,,,200-9,42.139843,-87.996655,2017-08-02,46798,2018-03-06 00:34:51 UTC,P,,,2012-01-31,,,,,J1772,US,,private,,
ELEC,Extreme Nissan,2029 Ireland Grove Rd,,Bloomington,IL,61704,,309-664-1222,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,,,200-9,40.459154,-88.966191,2017-08-02,46799,2018-03-06 01:35:33 UTC,P,,,2012-01-31,,,,,J1772,US,,public,CALL,
ELEC,Extreme Nissan,2029 Ireland Grove Rd,,Bloomington,IL,61704,,309-664-1222,E,,Private,,,,,,,1,,,,,200-9,40.459154,-88.966191,2017-08-02,46800,2018-03-06 01:35:33 UTC,P,,,2012-01-31,,,,,J1772,US,,private,,
ELEC,Hove Buick-Nissan,1405 N Kinzie,,Bradley,IL,60915,,815-932-8600,E,,Private,,,,,,,1,,,,,GPS,41.154031,-87.851483,2017-08-02,46802,2018-02-06 21:00:03 UTC,P,,,2012-01-31,,,,,J1772,US,,private,,
ELEC,Monken Nissan - Centralia,1739 W McCord St,,Centralia,IL,62801,,618-545-5100,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,,,200-9,38.533452,-89.172979,2017-08-02,46803,2018-03-06 01:35:33 UTC,P,,,2012-01-31,,,,,J1772,US,,public,CALL,
ELEC,Monken Nissan - Centralia,1739 W McCord St,,Centralia,IL,62801,,618-545-5100,E,,Private,,,,,,,1,,,,,200-9,38.533452,-89.172979,2017-08-02,46804,2018-03-06 01:35:33 UTC,P,,,2012-01-31,,,,,J1772,US,,private,,
ELEC,Mid City Nissan,4444 W Irving Park Rd,,Chicago,IL,60641,,773-282-6200,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,,,200-9,41.953751,-87.739697,2017-08-02,46806,2018-03-06 01:37:33 UTC,P,,,2012-01-31,,,,,J1772,US,,public,CALL,
ELEC,Mid City Nissan,4444 W Irving Park Rd,,Chicago,IL,60641,,773-282-6200,E,,Private,,,,,,,1,,,,,200-9,41.953751,-87.739697,2017-08-02,46807,2018-03-06 01:37:33 UTC,P,,,2012-01-31,,,,,J1772,US,,private,,
ELEC,Continental Nissan,5750 S La Grange Rd,,Countryside,IL,60525,,708-352-9200,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,,,200-9,41.78586,-87.8685,2017-08-02,46809,2018-03-06 01:38:48 UTC,P,,,2012-01-31,,,,,J1772,US,,public,CALL,
ELEC,Continental Nissan,5750 S La Grange Rd,,Countryside,IL,60525,,708-352-9200,E,,Private,,,,,,,1,,,,,200-9,41.78586,-87.8685,2017-08-02,46810,2018-03-06 01:38:48 UTC,P,,,2012-01-31,,,,,J1772,US,,private,,
ELEC,Jim M'Lady Nissan,5656 Northwest Hwy,,Crystal Lake,IL,60014,,815-459-2288,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,,,200-9,42.226647,-88.306745,2017-08-02,46811,2018-03-06 01:35:32 UTC,P,,,2012-01-31,,,,,J1772,US,,public,CALL,
ELEC,Jim M'Lady Nissan,5656 Northwest Hwy,,Crystal Lake,IL,60014,,815-459-2288,E,,Private,,,,,,,1,,,,,200-9,42.226647,-88.306745,2017-08-02,46812,2018-03-06 01:35:32 UTC,P,,,2012-01-31,,,,,J1772,US,,private,,
ELEC,Crown Nissan of Decatur,165 W Pershing Rd,,Decatur,IL,62526,,217-877-4440,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,,,200-9,39.876094,-88.959111,2017-08-02,46813,2018-03-06 01:35:59 UTC,P,,,2012-01-31,,,,,J1772,US,,public,CALL,
ELEC,Crown Nissan of Decatur,165 W Pershing Rd,,Decatur,IL,62526,,217-877-4440,E,,Private,,,,,,,1,,,,,200-9,39.876094,-88.959111,2017-08-02,46814,2018-03-06 01:35:59 UTC,P,,,2012-01-31,,,,,J1772,US,,private,,
ELEC,Ken Nelson Auto Plaza,928 N Galena Ave,,Dixon,IL,61021,,815-288-4455,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,,,200-9,41.856583,-89.489398,2017-08-02,46815,2018-03-06 01:37:33 UTC,P,,,2012-01-31,,,,,J1772,US,,public,CALL,
ELEC,Ken Nelson Auto Plaza,928 N Galena Ave,,Dixon,IL,61021,,815-288-4455,E,,Private,,,,,,,1,,,,,200-9,41.856583,-89.489398,2017-08-02,46816,2018-03-06 01:37:33 UTC,P,,,2012-01-31,,,,,J1772,US,,private,,
ELEC,Bill Kay's Downers Grove,1601 Ogden Ave,,Downers Grove,IL,60515,,630-969-3200,E,,Public - Call ahead,Dealership business hours,,,,,,2,,,,,200-9,41.807887,-88.024848,2017-08-02,46817,2018-03-06 01:34:33 UTC,P,,,2012-01-31,,,,,J1772,US,,public,CALL,
ELEC,Bill Kay's Downers Grove,1601 Ogden Ave,,Downers Grove,IL,60515,,630-969-3200,E,,Private,,,,,,,1,,,,,200-9,41.807887,-88.024848,2017-08-02,46818,2018-03-06 01:34:33 UTC,P,,,2012-01-31,,,,,J1772,US,,private,,
ELEC,McGrath Nissan,945 E Chicago St,,Elgin,IL,60120,,847-888-2030,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,,,200-9,42.033769,-88.255193,2017-08-02,46819,2018-03-06 01:37:35 UTC,P,,,2012-01-31,,,,,J1772,US,,public,CALL,
ELEC,McGrath Nissan,945 E Chicago St,,Elgin,IL,60120,,847-888-2030,E,,Private,,,,,,,1,,,,,200-9,42.033769,-88.255193,2017-08-02,46820,2018-03-06 01:37:35 UTC,P,,,2012-01-31,,,,,J1772,US,,private,,
ELEC,The Autobarn Nissan,1012 Chicago Ave,,Evanston,IL,60202,,847-475-8200,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,,,200-9,42.03616,-87.680149,2017-08-02,46821,2018-03-06 01:34:33 UTC,P,,,2012-01-31,,,,,CHADEMO J1772,US,,public,CALL,
ELEC,The Autobarn Nissan,1012 Chicago Ave,,Evanston,IL,60202,,847-475-8200,E,,Private,,,,,,,1,,,,,200-9,42.03616,-87.680149,2017-08-02,46822,2018-03-06 01:34:33 UTC,P,,,2012-01-31,,,,,J1772,US,,private,,
